Wave 15 campaign/map RED-first Edit contracts
Run ID: 20260826T070000Z_gamejam_wave_b_redfirst_final
Baseline: 00e0d5a9df597ab4a9f54bff665291f367d40c92
Unity: 6000.4.9f1
Overall/Product/Infrastructure: FAIL/FAIL/PASS
PASS/EXPECTED_GAP/FAIL/INFRA_FAIL/UNVERIFIED: 11/0/1/0/0
W15-I01.exact_baseline | PASS | NONE | baseline=00e0d5a9df597ab4a9f54bff665291f367d40c92
W15-I02.canonical_sources | PASS | NONE | files=4; tokens=Day 50,feature.expedition-map,system.region-loot-rng,task.qa.wave15-campaign-map-redfirst,softlock
W15-D01.day_1_of_50 | PASS | NONE | D1/50/Camp/None
W15-D02.day49_continues | PASS | NONE | settled=True; D50/Camp/None
W15-D03.day50_terminal | PASS | NONE | settled=True; D50/Result/Deadline
W15-D04.early_escape_priority | PASS | NONE | FinalDay=50; workbench=True; rope=True/True; signal=True/True; result=Rescued; phase=Result
W15-M01.three_region_forecast_catalog | FAIL | PRODUCT_REGRESSION | catalogEntries=50; regions=beach,forest,shallow-sea; failures=beach:resource|category,beach:abundance|richness,beach:weather,beach:gear|equipment,beach:special|discovery,beach:unknown|discovered|identified,forest:resource|category,forest:abundance|richness,forest:weather,forest:gear|equipment,forest:special|discovery,forest:unknown|discovered|identified,shallow-sea:resource|category,shallow-sea:abundance|richness,shallow-sea:weather,shallow-sea:gear|equipment,shallow-sea:special|discovery,shallow-sea:unknown|discovered|identified
W15-R01.same_seed_reproducible | PASS | NONE | PrototypeRegionLootRng.Generate same=True different=True bounds=True/True [explicit-within-bounds=true;explicit-within-bounds=true]; PrototypeRegionLootRng.ResolveProfile same=True different=False bounds=False/False [actual/min/max=-1/-1/-1;actual/min/max=-1/-1/-1]; same=True; different=True; routes>=3=True
W15-R02.different_seed_bounded_variation | PASS | NONE | PrototypeRegionLootRng.Generate same=True different=True bounds=True/True [explicit-within-bounds=true;explicit-within-bounds=true]; PrototypeRegionLootRng.ResolveProfile same=True different=False bounds=False/False [actual/min/max=-1/-1/-1;actual/min/max=-1/-1/-1]; same=True; different=True; routes>=3=True
W15-R03.softlock_protection | PASS | NONE | PrototypeRegionLootRng.Generate same=True different=True bounds=True/True [explicit-within-bounds=true;explicit-within-bounds=true]; PrototypeRegionLootRng.ResolveProfile same=True different=False bounds=False/False [actual/min/max=-1/-1/-1;actual/min/max=-1/-1/-1]; same=True; different=True; routes>=3=True
W15-L01.ko_en_qps_map_keys | PASS | NONE | rows=451; mapRows=49; qpsExpanded=49; failures=none
W15-O01.seed_region_privacy_log | PASS | NONE | seedField=True; regionField=True; prohibitedPiiField=False
